Competitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Nathan Trevillian'"," [['Fran'"," '0:00']"," ['Helen'"," '0:00']"," ['Grace'"," '0:00']"," ['Filthy 50'"," '0:00']"," ['Fight Gone Bad'"," '0']"," ['Sprint 400m'"," '0:00']"," ['Run 5k'"," '0:00']"," []"," ['Clean & Jerk'"," '305 lb']"," ['Snatch'"," '265 lb']"," ['Deadlift'"," '0 lb']"," ['Back Squat'"," '0 lb']"," ['Max Pull-ups'"," '0']]"," ['Mid Atlantic'"," 'CrossFit Sua Sponte'"," 'CrossFit Sua Sponte'"," '20'"," '6\'1""""""""'"," '185 lb'])"
"('Adam Vinson'"," [['Fran'"," '2:25']"," ['Helen'"," '8:28']"," ['Grace'"," '1:36']"," ['Filthy 50'"," '17:24']"," ['Fight Gone Bad'"," '406']"," ['Sprint 400m'"," '0:00']"," ['Run 5k'"," '0:00']"," []"," ['Clean & Jerk'"," '355 lb']"," ['Snatch'"," '285 lb']"," ['Deadlift'"," '550 lb']"," ['Back Squat'"," '525 lb']"," ['Max Pull-ups'"," '40']]"," ['South East'"," 'CrossFit Oneonta'"," 'CrossFit Oneonta'"," '28'"," '5\'11""""""""'"," '215 lb'])"
"('Craig Williams'"," [['Fran'"," '2:09']"," ['Helen'"," '7:04']"," ['Grace'"," '1:50']"," ['Filthy 50'"," '0:00']"," ['Fight Gone Bad'"," '388']"," ['Sprint 400m'"," '1:04']"," ['Run 5k'"," '19:37']"," []"," ['Clean & Jerk'"," '315 lb']"," ['Snatch'"," '255 lb']"," ['Deadlift'"," '535 lb']"," ['Back Squat'"," '425 lb']"," ['Max Pull-ups'"," '--']]"," ['Mid Atlantic'"," 'CrossFit Salisbury'"," 'CrossFit Salisbury'"," '21'"," '5\'9""""""""'"," '179 lb'])"
"('Vinny Casey'"," [['Fran'"," '2:15']"," ['Helen'"," '--']"," ['Grace'"," '1:40']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '--']"," ['Sprint 400m'"," '0:58']"," ['Run 5k'"," '19:00']"," []"," ['Clean & Jerk'"," '315 lb']"," ['Snatch'"," '265 lb']"," ['Deadlift'"," '505 lb']"," ['Back Squat'"," '445 lb']"," ['Max Pull-ups'"," '77']]"," ['Mid Atlantic'"," 'Diamond State'"," 'CrossFit Diamond State'"," '20'"," '5\'9""""""""'"," '185 lb'])"
"('Casey Haines'"," [['Fran'"," '0:00']"," ['Helen'"," '0:00']"," ['Grace'"," '0:00']"," ['Filthy 50'"," '0:00']"," ['Fight Gone Bad'"," '--']"," ['Sprint 400m'"," '0:00']"," ['Run 5k'"," '0:00']"," []"," ['Clean & Jerk'"," '--']"," ['Snatch'"," '--']"," ['Deadlift'"," '--']"," ['Back Squat'"," '--']"," ['Max Pull-ups'"," '--']]"," ['Mid Atlantic'"," 'CrossFit Explode'"," 'CrossFit Explode'"," '24'"," '6\'1""""""""'"," '225 lb'])"
"('Guido Trinidad'"," [['Fran'"," '2:12']"," ['Helen'"," '7:40']"," ['Grace'"," '1:23']"," ['Filthy 50'"," '17:33']"," ['Fight Gone Bad'"," '438']"," ['Sprint 400m'"," '1:02']"," ['Run 5k'"," '21:13']"," []"," ['Clean & Jerk'"," '335 lb']"," ['Snatch'"," '260 lb']"," ['Deadlift'"," '475 lb']"," ['Back Squat'"," '450 lb']"," ['Max Pull-ups'"," '63']]"," ['South East'"," 'Peak 360 CrossFit'"," 'Peak 360 CrossFit'"," '35'"," '5\'7""""""""'"," '191 lb'])"
"('Kyle Ruth'"," [['Fran'"," '2:21']"," ['Helen'"," '0:00']"," ['Grace'"," '1:32']"," ['Filthy 50'"," '0:00']"," ['Fight Gone Bad'"," '0']"," ['Sprint 400m'"," '0:54']"," ['Run 5k'"," '20:47']"," []"," ['Clean & Jerk'"," '345 lb']"," ['Snatch'"," '255 lb']"," ['Deadlift'"," '555 lb']"," ['Back Squat'"," '450 lb']"," ['Max Pull-ups'"," '66']]"," ['Mid Atlantic'"," 'CrossFit LKN'"," 'Male'"," '30'"," '5\'11""""""""'"," '199 lb'])"
"('Brandon Massie'"," [['Fran'"," '2:16']"," ['Helen'"," '7:16']"," ['Grace'"," '1:39']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '430']"," ['Sprint 400m'"," '1:05']"," ['Run 5k'"," '23:48']"," []"," ['Clean & Jerk'"," '317 lb']"," ['Snatch'"," '265 lb']"," ['Deadlift'"," '495 lb']"," ['Back Squat'"," '405 lb']"," ['Max Pull-ups'"," '50']]"," ['South East'"," 'Mako CrossFit'"," 'Male'"," '27'"," '6\'0""""""""'"," '208 lb'])"
"('Thomas Nay'"," [['Fran'"," '2:04']"," ['Helen'"," '--']"," ['Grace'"," '--']"," ['Filthy 50'"," '--']"," ['Fight Gone Bad'"," '--']"," ['Sprint 400m'"," '0:00']"," ['Run 5k'"," '21:00']"," []"," ['Clean & Jerk'"," '325 lb']"," ['Snatch'"," '260 lb']"," ['Deadlift'"," '545 lb']"," ['Back Squat'"," '455 lb']"," ['Max Pull-ups'"," '0']]"," ['Mid Atlantic'"," 'CrossFit Huntington'"," 'Male'"," '26'"," '5\'7""""""""'"," '180 lb'])"
"('Carlos Albaladejo'"," [['Fran'"," '2:30']"," ['Helen'"," '8:30']"," ['Grace'"," '1:58']"," ['Filthy 50'"," '0:00']"," ['Fight Gone Bad'"," '397']"," ['Sprint 400m'"," '0:00']"," ['Run 5k'"," '0:00']"," []"," ['Clean & Jerk'"," '350 lb']"," ['Snatch'"," '275 lb']"," ['Deadlift'"," '530 lb']"," ['Back Squat'"," '450 lb']"," ['Max Pull-ups'"," '54']]"," ['Mid Atlantic'"," 'CrossFit Midlo'"," 'Male'"," '27'"," '5\'7""""""""'"," '175 lb'])"
