Competitor,,Fran Times,Fran Times (Decimal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Bramblett, Fran,0:02:06,0.001458333, Helen, --, Grace, 1:20, Filthy 50, --, Fight Gone Bad,472, Sprint 400m, --, Run 5k, 18:37, , Clean & Jerk, 350 lb, Snatch, 280 lb, Deadlift, 525 lb, Back Squat, 445 lb, Max Pull-ups,63, Mid Atlantic, CrossFit Oyster Point, Male,24," 5\10""""""""", 184 lb
Nick Urankar, Fran,0:02:10,0.00150463, Helen, 0:00, Grace, 1:24, Filthy 50, 15:30, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 19:37, , Clean & Jerk, 390 lb, Snatch, 305 lb, Deadlift, 535 lb, Back Squat, 475 lb, Max Pull-ups,55, Central East, CrossFit 061, CrossFit 061,31," 5\10""""""""", 195 lb
Phil Hesketh, Fran,0:02:14,0.001550926, Helen, 8:00, Grace, 1:41, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 1:08, Run 5k, 0:00, , Clean & Jerk, 325 lb, Snatch, 280 lb, Deadlift, 240 kg, Back Squat, 220 kg, Max Pull-ups,50, Africa, InnerFight, InnerFight CrossFit DXB,25, 180 cm, 206 lb
Lukas H\xc3\xb6gberg, Fran,0:00:00,0, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk, 143 kg, Snatch, 115 kg, Deadlift, 220 kg, Back Squat, 183 kg, Max Pull-ups,0, Europe, CrossFit Solid, CrossFit Solid,25, 183 cm, 207 lb
Daniel Tyminski, Fran,0:02:22,0.001643519, Helen, 7:02, Grace, 0:00, Filthy 50, 14:50, Fight Gone Bad,504, Sprint 400m, 0:00, Run 5k, 18:38, , Clean & Jerk, 340 lb, Snatch, 295 lb, Deadlift, 525 lb, Back Squat, 440 lb, Max Pull-ups,0, North East, CrossFit Lindy, CrossFit Lindy,29," 5\9""""""""", 195 lb
Travis Williams, Fran,0:02:24,0.001666667, Helen, 7:41, Grace, 1:22, Filthy 50, 19:20, Fight Gone Bad,486, Sprint 400m, 1:02, Run 5k, 20:55, , Clean & Jerk, 365 lb, Snatch, 285 lb, Deadlift, 550 lb, Back Squat, 475 lb, Max Pull-ups,50, South Central, U Can CrossFit, U Can CrossFit,23," 5\9""""""""", 205 lb
Khan Porter, Fran,0:02:04,0.001435185, Helen, --, Grace, 1:34, Filthy 50, 16:40, Fight Gone Bad,468, Sprint 400m, --, Run 5k, --, , Clean & Jerk, 155 kg, Snatch, 125 kg, Deadlift, 230 kg, Back Squat, 200 kg, Max Pull-ups,70, Australia, CrossFit Play, CrossFit Play,26, 181 cm, 205 lb
Austin Malleolo, Fran,0:02:11,0.001516204, Helen, 6:56, Grace, 1:47, Filthy 50, 14:05, Fight Gone Bad,470, Sprint 400m, 0:59, Run 5k, 20:21, , Clean & Jerk, 325 lb, Snatch, 255 lb, Deadlift, 570 lb, Back Squat, 420 lb, Max Pull-ups,65, North East, Reebok CrossFit ONE Team A, Reebok CrossFit One,28," 5\5""""""""", 178 lb
Julian Alcaraz, Fran,0:02:24,0.001666667, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, --, Run 5k, 18:44, , Clean & Jerk, 335 lb, Snatch, 250 lb, Deadlift, 485 lb, Back Squat, 470 lb, Max Pull-ups,55, Southern California, CrossFit Training Yard, CrossFit Training Yard,26," 5\10""""""""", 197 lb
Jordan Cook, Fran,0:02:14,0.001550926, Helen, 7:01, Grace, 1:37, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 1:00, Run 5k, 20:00, , Clean & Jerk, 330 lb, Snatch, 270 lb, Deadlift, 500 lb, Back Squat, 440 lb, Max Pull-ups, --, South Central, CrossFit Bay Area, Male,23," 5\9""""""""", 193 lb
Kevin Simons, Fran,0:02:03,0.001423611, Helen, 0:00, Grace, 1:11, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:59, Run 5k, 0:00, , Clean & Jerk, 361 lb, Snatch, 302 lb, Deadlift, 575 lb, Back Squat, 515 lb, Max Pull-ups,0, North West, Male,,27," 5\7""""""""", 193 lb
Joe Scali, Fran,0:02:14,0.001550926, Helen, 0:00, Grace, 2:11, Filthy 50, 15:05, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk, 330 lb, Snatch, 265 lb, Deadlift, 505 lb, Back Squat, 450 lb, Max Pull-ups,0, Canada West, Crossfit SEMI, CrossFit Semiahmoo,29," 6\0""""""""", 190 lb
Neal Maddox, Fran,0:02:04,0.001435185, Helen, 7:45, Grace, 1:35, Filthy 50, 14:34, Fight Gone Bad,505, Sprint 400m, 1:01, Run 5k, 0:00, , Clean & Jerk, 353 lb, Snatch, 295 lb, Deadlift, 505 lb, Back Squat, 510 lb, Max Pull-ups,60, Northern California, CrossFit X-treme Athletics, Male,38," 5\10""""""""", 208 lb
Chad Mackay, Fran,0:02:25,0.001678241, Helen, 7:00, Grace, 1:25, Filthy 50, 18:00, Fight Gone Bad,400, Sprint 400m, 1:00, Run 5k, 20:00, , Clean & Jerk, 150 kg, Snatch, 135 kg, Deadlift, 240 kg, Back Squat, 200 kg, Max Pull-ups,60, Australia, CrossFit Active, CrossFit Active Artarmon,34," 6\1""""""""", 215 lb
