Competitor,,Fran Times,Fran Times (Decimal),,,,,,,,,,,,,,,Clean & Jerk,,Snatch,,Deadlift,,Back Squat,,,,,,Age,Height,Weight
Luke Fiso, Fran,0:02:40,0.001851852, Helen, --, Grace, 1:36, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 0:53, Run 5k, --, , Clean & Jerk,298, Snatch,265, Deadlift,485, Back Squat,403, Max Pull-ups,47, Australia, Instinct Fitness, Unaffiliated,25,176,189
Luke Starr, Fran,0:02:11,0.001516204, Helen, 7:26, Grace, 1:30, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,304, Snatch,231, Deadlift,540, Back Squat,463, Max Pull-ups,70, Australia, CrossFit Active, CrossFit Active Artarmon,32,172,176
YooSik Kim, Fran,0:02:26,0.001689815, Helen, 8:39, Grace, 1:58, Filthy 50, 18:56, Fight Gone Bad,345, Sprint 400m, --, Run 5k, --, , Clean & Jerk,295, Snatch,240, Deadlift,535, Back Squat,420, Max Pull-ups,59, Asia, CrossFit G zone, Male,29,170,171
INSU BAEK, Fran,0:03:02,0.002106481, Helen, 13:13, Grace, 1:37, Filthy 50, 19:10, Fight Gone Bad,344, Sprint 400m, 1:15, Run 5k, 25:00, , Clean & Jerk,325, Snatch,250, Deadlift,535, Back Squat,405, Max Pull-ups,47, Asia, Reebok CrossFit Fighting Spirit, Reebok CrossFit Fighting Spirit,26,177,203
Roy Gamboa, Fran,0:02:15,0.0015625, Helen, 7:32, Grace, 1:27, Filthy 50, 19:50, Fight Gone Bad,0, Sprint 400m, 0:56, Run 5k, 21:25, , Clean & Jerk,365, Snatch,310, Deadlift,525, Back Squat,465, Max Pull-ups,50, South Central, CrossFit Abilene, CrossFit Abilene,28,173,200
Travis Williams, Fran,0:02:24,0.001666667, Helen, 7:41, Grace, 1:22, Filthy 50, 19:20, Fight Gone Bad,486, Sprint 400m, 1:02, Run 5k, 20:55, , Clean & Jerk,365, Snatch,285, Deadlift,550, Back Squat,475, Max Pull-ups,50, South Central, U Can CrossFit, U Can CrossFit,23,175,205
Jordan Cook, Fran,0:02:14,0.001550926, Helen, 7:01, Grace, 1:37, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 1:00, Run 5k, 20:00, , Clean & Jerk,330, Snatch,270, Deadlift,500, Back Squat,440, Max Pull-ups, --, South Central, CrossFit Bay Area, Male,23,175,193
Adrian Conway, Fran,0:02:17,0.001585648, Helen, 0:00, Grace, 1:25, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 0:56, Run 5k, 21:15, , Clean & Jerk,345, Snatch,275, Deadlift,590, Back Squat,490, Max Pull-ups,70, South West, Wasatch CrossFit Blue, Wasatch CrossFit,30,178,202
Chad Cole, Fran,0:02:15,0.0015625, Helen, 7:10, Grace, 1:48, Filthy 50, 15:42, Fight Gone Bad,430, Sprint 400m, 0:00, Run 5k, 19:30, , Clean & Jerk,310, Snatch,275, Deadlift,475, Back Squat,415, Max Pull-ups,66, South West, CrossFit Apollo, CrossFit Apollo,25,173,180
Sean Sweeney, Fran,0:02:19,0.001608796, Helen, 6:38, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,341, Snatch,265, Deadlift,550, Back Squat,410, Max Pull-ups, --, South West, Powerstroke BuB, CrossFit Powerstroke,24,175,195
Logan Collins, Fran,0:02:29,0.001724537, Helen, --, Grace, 1:40, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,315, Snatch,245, Deadlift,500, Back Squat,435, Max Pull-ups, --, South Central, WTF CrossFit, WTF CrossFit,24,173,165
Ruben Martinez, Fran,0:02:35,0.001793981, Helen, 9:05, Grace, 2:24, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 1:07, Run 5k, 22:23, , Clean & Jerk,325, Snatch,265, Deadlift,410, Back Squat,415, Max Pull-ups,60, South Central, Contender CrossFit, Contender CrossFit,21,178,175
Matt Chan, Fran,0:02:19,0.001608796, Helen, 7:44, Grace, 1:16, Filthy 50, 17:44, Fight Gone Bad,448, Sprint 400m, 1:00, Run 5k, 21:58, , Clean & Jerk,345, Snatch,300, Deadlift,572, Back Squat,445, Max Pull-ups,50, South West, CrossFit Roots, Male,37,175,217
Zachary Forrest, Fran,0:02:04,0.001435185, Helen, 7:01, Grace, 1:29, Filthy 50, 15:34, Fight Gone Bad,425, Sprint 400m, 1:01, Run 5k, 20:00, , Clean & Jerk,315, Snatch,250, Deadlift,475, Back Squat,410, Max Pull-ups,74, South West, CrossFit Max Effort, CrossFit Max Effort,29,160,175
Ryan Laframboise, Fran,0:02:21,0.001631944, Helen, --, Grace, 1:42, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,305, Snatch,240, Deadlift,455, Back Squat,405, Max Pull-ups, --, South West, Urban WarFit, Urban WarFit CrossFit Scottsdale,25,175,177
Patrick Burke, Fran,0:02:19,0.001608796, Helen, 6:52, Grace, 1:24, Filthy 50, 0:00, Fight Gone Bad,399, Sprint 400m, 0:58, Run 5k, 20:00, , Clean & Jerk,300, Snatch,230, Deadlift,525, Back Squat,435, Max Pull-ups,60, South West, MBS CrossFit, MBS CrossFit,34,178,185
Dusty Flores, Fran,0:02:05,0.001446759, Helen, 7:35, Grace, 1:29, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 1:00, Run 5k, 19:00, , Clean & Jerk,315, Snatch,260, Deadlift,460, Back Squat,455, Max Pull-ups,60, South Central, Pillar CrossFit, Pillar CrossFit,26,173,178
Jason Hoggan, Fran,0:02:15,0.0015625, Helen, 7:18, Grace, 1:18, Filthy 50, 16:58, Fight Gone Bad,445, Sprint 400m, 1:00, Run 5k, 19:30, , Clean & Jerk,310, Snatch,250, Deadlift,530, Back Squat,455, Max Pull-ups,63, South Central, CrossFit Deep, Male,32,178,184
Jeff Germond, Fran,0:02:21,0.001631944, Helen, 8:15, Grace, 1:42, Filthy 50, 18:09, Fight Gone Bad,401, Sprint 400m, 1:05, Run 5k, 21:56, , Clean & Jerk,325, Snatch,260, Deadlift,465, Back Squat,430, Max Pull-ups,50, South Central, CrossFit NOLA, CrossFit NOLA,34,173,193
Caleb Christian, Fran,0:02:19,0.001608796, Helen, 7:35, Grace, 1:14, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 0:58, Run 5k, 22:07, , Clean & Jerk,345, Snatch,275, Deadlift,505, Back Squat,470, Max Pull-ups,55, South Central, Team Redefined, CrossFit Redefined,26,183,197
Justin Murphy, Fran,0:02:10,0.00150463, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 0:55, Run 5k, 20:07, , Clean & Jerk,335, Snatch,265, Deadlift,500, Back Squat,500, Max Pull-ups,50, South Central, CrossFit Strong, CrossFit Strong,24,175,178
Justin Fallon, Fran,0:02:29,0.001724537, Helen, 6:38, Grace, 1:29, Filthy 50, 20:00, Fight Gone Bad,456, Sprint 400m, 0:56, Run 5k, 17:54, , Clean & Jerk,285, Snatch,235, Deadlift,515, Back Squat,405, Max Pull-ups,65, South West, CrossFit Blur, CrossFit Blur,29,180,184
Blaine Springston, Fran,0:02:10,0.00150463, Helen, 7:45, Grace, 1:30, Filthy 50, 17:30, Fight Gone Bad,0, Sprint 400m, 1:00, Run 5k, 0:00, , Clean & Jerk,325, Snatch,255, Deadlift,500, Back Squat,455, Max Pull-ups,50, South Central, Crossfit Sprag, CrossFit Sprag,30,178,190
Ryan Bender, Fran,0:02:35,0.001793981, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,340, Snatch,285, Deadlift,605, Back Squat,455, Max Pull-ups, --, South Central, SPXF, CrossFit SPXF,27,178,195
David Richman, Fran,0:02:08,0.001481481, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,315, Snatch,285, Deadlift,485, Back Squat,450, Max Pull-ups, --, South West, Male,,22,180,188
Fernando Villafa\xc3\xb1a, Fran,0:02:16,0.001574074, Helen, --, Grace, 2:01, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,320, Snatch,255, Deadlift,455, Back Squat,400, Max Pull-ups, --, Latin America, CrossFit Chetumal, Male,30,171,180
Richard Andrews, Fran,0:02:07,0.001469907, Helen, 7:41, Grace, 1:47, Filthy 50, 0:00, Fight Gone Bad,393, Sprint 400m, 0:00, Run 5k, 21:13, , Clean & Jerk,319, Snatch,253, Deadlift,455, Back Squat,385, Max Pull-ups,68, South Central, Bayway CrossFit, Male,26,160,174
Cole Marshburn, Fran,0:02:24,0.001666667, Helen, --, Grace, 1:37, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,325, Snatch,255, Deadlift,540, Back Squat,425, Max Pull-ups,60, South Central, Crossfit PRx, CrossFit PRX,34,183,198
Ryan Bielefeldt, Fran,0:02:24,0.001666667, Helen, 7:45, Grace, 1:58, Filthy 50, 0:00, Fight Gone Bad,367, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,335, Snatch,280, Deadlift,565, Back Squat,450, Max Pull-ups,50, South Central, Team Ballistic, Ballistic CrossFit,30,183,200
Stephano Tsaganis, Fran,0:02:24,0.001666667, Helen, 7:34, Grace, 1:45, Filthy 50, 16:44, Fight Gone Bad,0, Sprint 400m, 0:59, Run 5k, 19:23, , Clean & Jerk,345, Snatch,280, Deadlift,500, Back Squat,485, Max Pull-ups, --, South Central, Covenant CrossFit, Male,28,175,192
Andrew Cifelli, Fran,0:02:29,0.001724537, Helen, 7:15, Grace, 1:54, Filthy 50, 17:59, Fight Gone Bad,404, Sprint 400m, 1:05, Run 5k, 21:17, , Clean & Jerk,297, Snatch,240, Deadlift,505, Back Squat,435, Max Pull-ups,55, South West, Unaffiliated, Male,25,183,189
Emanuel Aponte, Fran,0:02:47,0.00193287, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 1:06, Run 5k, 22:00, , Clean & Jerk,315, Snatch,260, Deadlift,435, Back Squat,375, Max Pull-ups,63, Latin America, Team Aggressive, Aggressive CrossFit,23,160,160
Alan Garcia, Fran,0:02:13,0.001539352, Helen, 7:43, Grace, 1:56, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,305, Snatch,260, Deadlift,475, Back Squat,380, Max Pull-ups,70, Latin America, CrossFit Impetus, Male,25,175,180
Gabe Swaba, Fran,0:02:48,0.001944444, Helen, 7:54, Grace, 1:47, Filthy 50, 16:36, Fight Gone Bad, --, Sprint 400m, 0:58, Run 5k, 17:48, , Clean & Jerk,305, Snatch,250, Deadlift,515, Back Squat,385, Max Pull-ups,68, South West, Male,,21,185,200
Tarcio Santos Ferreira, Fran,0:02:33,0.001770833, Helen, 0:00, Grace, 2:29, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 1:09, Run 5k, 0:00, , Clean & Jerk,297, Snatch,233, Deadlift,515, Back Squat,418, Max Pull-ups,50, Latin America, CrossFit Moema, CrossFit Moema,29,172,171
Artur Machado, Fran,0:02:11,0.001516204, Helen, 0:00, Grace, 1:44, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, 0:44, Run 5k, 19:48, , Clean & Jerk,315, Snatch,245, Deadlift,516, Back Squat,452, Max Pull-ups,72, Latin America, BSB CrossFit, Male,24,170,170
Phillip Guillot, Fran,0:02:34,0.001782407, Helen, 8:13, Grace, 1:32, Filthy 50, 17:45, Fight Gone Bad,414, Sprint 400m, --, Run 5k, --, , Clean & Jerk,340, Snatch,262, Deadlift,480, Back Squat,420, Max Pull-ups, --, South Central, Crescent City CrossFit, Crescent City CrossFit Gretna,27,178,205
Alvaro Lopez, Fran,0:02:17,0.001585648, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,305, Snatch,235, Deadlift,505, Back Squat,400, Max Pull-ups,65, Latin America, Reebok CrossFit PTY, Reebok CrossFit PTY,30,165,177
Agustin Garavaglia, Fran,0:02:04,0.001435185, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,385, Snatch,300, Deadlift,495, Back Squat,455, Max Pull-ups, --, Latin America, Unaffiliated, Male,24,175,187
Jose Gonzalez, Fran,0:02:26,0.001689815, Helen, 0:00, Grace, 1:40, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 17:25, , Clean & Jerk,315, Snatch,245, Deadlift,500, Back Squat,405, Max Pull-ups,70, Latin America, Male,,29,178,180
Luis Perez, Fran,0:02:05,0.001446759, Helen, 7:40, Grace, 1:42, Filthy 50, 14:20, Fight Gone Bad,430, Sprint 400m, 0:52, Run 5k, 19:00, , Clean & Jerk,320, Snatch,250, Deadlift,500, Back Squat,440, Max Pull-ups,75, South West, crossfit XD, CrossFit XD,25,180,190
Lucas Parker, Fran,0:02:05,0.001446759, Helen, --, Grace, 1:10, Filthy 50, 14:14, Fight Gone Bad,476, Sprint 400m, 0:56, Run 5k, --, , Clean & Jerk,340, Snatch,275, Deadlift,455, Back Squat,475, Max Pull-ups,68, North West, CrossFit Deliverance, CrossFit Deliverance,25,178,207
Cole Sager, Fran,0:02:03,0.001423611, Helen, 0:00, Grace, 1:11, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:59, Run 5k, 0:00, , Clean & Jerk,361, Snatch,302, Deadlift,575, Back Squat,515, Max Pull-ups,0, North West, Male,,27,160,193
Kevin Simons, Fran,0:02:10,0.00150463, Helen, 7:26, Grace, 0:00, Filthy 50, 15:36, Fight Gone Bad,484, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,345, Snatch,300, Deadlift,500, Back Squat,515, Max Pull-ups,0, Canada West, Team Taranis, CrossFit Taranis,28,185,205
Tyson Takasaki, Fran,0:02:14,0.001550926, Helen, 0:00, Grace, 2:11, Filthy 50, 15:05, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,330, Snatch,265, Deadlift,505, Back Squat,450, Max Pull-ups,0, Canada West, Crossfit SEMI, CrossFit Semiahmoo,29,183,190
Joe Scali, Fran,0:02:06,0.001458333, Helen, 7:47, Grace, 1:47, Filthy 50, 16:18, Fight Gone Bad,432, Sprint 400m, 0:59, Run 5k, 22:33, , Clean & Jerk,300, Snatch,245, Deadlift,420, Back Squat,390, Max Pull-ups,73, North West, Central Oregon CrossFit, Central Oregon CrossFit,23,160,160
Brent Fikowski, Fran,0:01:55,0.001331019, Helen, 7:39, Grace, 1:39, Filthy 50, 16:08, Fight Gone Bad,461, Sprint 400m, 1:00, Run 5k, 19:05, , Clean & Jerk,375, Snatch,305, Deadlift,585, Back Squat,485, Max Pull-ups,64, Canada West, CrossFit AI, CrossFit Athlete Inside AI,25,178,200
Allan Dunlap, Fran,0:02:20,0.00162037, Helen, 7:19, Grace, --, Filthy 50, --, Fight Gone Bad,422, Sprint 400m, --, Run 5k, 21:00, , Clean & Jerk,310, Snatch,250, Deadlift,475, Back Squat,410, Max Pull-ups,68, North West, Tulalip Bay CrossFit, Male,29,178,189
Apollo Lewis, Fran,0:02:01,0.001400463, Helen, 7:04, Grace, 1:45, Filthy 50, 17:25, Fight Gone Bad,440, Sprint 400m, 0:59, Run 5k, 0:00, , Clean & Jerk,333, Snatch,279, Deadlift,505, Back Squat,530, Max Pull-ups,60, Canada West, CrossFit Vernon, CrossFit Vernon,28,183,210
Jeremy Meredith, Fran,0:02:21,0.001631944, Helen, 7:31, Grace, 1:30, Filthy 50, 16:39, Fight Gone Bad,0, Sprint 400m, 1:01, Run 5k, 0:00, , Clean & Jerk,335, Snatch,275, Deadlift,505, Back Squat,430, Max Pull-ups,0, Canada West, CrossFit North Okanagan, Male,22,175,195
Mitch Wagner, Fran,0:02:57,0.002048611, Helen, 8:39, Grace, 1:54, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 0:58, Run 5k, 0:00, , Clean & Jerk,335, Snatch,265, Deadlift,455, Back Squat,435, Max Pull-ups,45, Canada West, CFK Wolf Pack, CrossFit Kitsilano,22,180,197
Connor Vale, Fran,0:02:17,0.001585648, Helen, --, Grace, 1:44, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,330, Snatch,260, Deadlift,565, Back Squat,440, Max Pull-ups, --, Canada West, CrossFit Dark Star, Male,25,188,225
Jonathan Gibson, Fran,0:02:07,0.001469907, Helen, --, Grace, 1:43, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,335, Snatch,245, Deadlift,505, Back Squat,505, Max Pull-ups,52, North West, Boise CrossFit, Boise CrossFit,35,168,184
Andy Rosenbaum, Fran,0:02:08,0.001481481, Helen, 8:39, Grace, 2:24, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,334, Snatch,275, Deadlift,455, Back Squat,425, Max Pull-ups,54, North West, Lynnwood Crossfit, Lynnwood CrossFit,25,160,177
Drew Barquist, Fran,0:02:16,0.001574074, Helen, 0:00, Grace, 1:47, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 0:00, Run 5k, 18:05, , Clean & Jerk,300, Snatch,245, Deadlift,455, Back Squat,415, Max Pull-ups,73, North West, Team MBCF, Mt. Baker CrossFit,19,178,185
Samuel Kwant, Fran,0:02:17,0.001585648, Helen, 7:28, Grace, 1:54, Filthy 50, 16:46, Fight Gone Bad,453, Sprint 400m, 0:59, Run 5k, 19:51, , Clean & Jerk,330, Snatch,250, Deadlift,560, Back Squat,405, Max Pull-ups,71, Canada West, Unaffiliated, Male,23,183,191
Dylan Weller, Fran,0:02:49,0.001956019, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,335, Snatch,245, Deadlift,455, Back Squat,435, Max Pull-ups,35, Canada West, Bodyshop CrossFit, Bodyshop CrossFit West Kelowna,23,183,208
Cole Bernier, Fran,0:02:26,0.001689815, Helen, 7:48, Grace, 1:48, Filthy 50, 0:00, Fight Gone Bad,406, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,300, Snatch,245, Deadlift,485, Back Squat,375, Max Pull-ups,60, North West, Big Sky CrossFit, Big Sky CrossFit,30,180,190
Ryan Smith, Fran,0:02:37,0.00181713, Helen, 7:40, Grace, 1:37, Filthy 50, 18:47, Fight Gone Bad,385, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,340, Snatch,260, Deadlift,500, Back Squat,425, Max Pull-ups,0, North West, Targhee CrossFit, Male,34,193,225
Pete Barner, Fran,0:02:41,0.001863426, Helen, 7:33, Grace, 1:46, Filthy 50, --, Fight Gone Bad,420, Sprint 400m, --, Run 5k, --, , Clean & Jerk,319, Snatch,258, Deadlift,445, Back Squat,395, Max Pull-ups,50, Canada West, CrossFit Rocked, CrossFit Rocked,29,178,193
Zack McMillan, Fran,0:02:10,0.00150463, Helen, 7:25, Grace, 1:33, Filthy 50, 16:01, Fight Gone Bad,455, Sprint 400m, 0:56, Run 5k, 19:56, , Clean & Jerk,335, Snatch,260, Deadlift,515, Back Squat,484, Max Pull-ups,60, Canada West, Reebok CrossFit 306, CrossFit Reebok 306,37,168,177
Jason Cain, Fran,0:02:42,0.001875, Helen, 8:45, Grace, 1:31, Filthy 50, 19:56, Fight Gone Bad,428, Sprint 400m, 1:06, Run 5k, 23:00, , Clean & Jerk,325, Snatch,250, Deadlift,450, Back Squat,405, Max Pull-ups,40, North West, CrossFit The Den, CrossFit The Den,30,183,220
Mitchel Stevenson, Fran,0:02:09,0.001493056, Helen, 7:48, Grace, 1:37, Filthy 50, 0:00, Fight Gone Bad,435, Sprint 400m, 1:00, Run 5k, 22:21, , Clean & Jerk,305, Snatch,235, Deadlift,475, Back Squat,405, Max Pull-ups,65, North West, Beartooth CrossFit, Male,25,183,195
Mack Unruh, Fran,0:02:57,0.002048611, Helen, 9:37, Grace, 1:55, Filthy 50, 22:24, Fight Gone Bad,385, Sprint 400m, 1:10, Run 5k, 23:08, , Clean & Jerk,310, Snatch,255, Deadlift,516, Back Squat,440, Max Pull-ups,50, Canada West, CrossFit Armoury, CrossFit Armoury,32,178,197
Aiden Poole, Fran,0:02:34,0.001782407, Helen, 8:32, Grace, 1:09, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,355, Snatch,285, Deadlift,545, Back Squat,435, Max Pull-ups,42, North West, Lakeside CrossFit, Lakeside CrossFit,27,183,205
Nicholas Rocco, Fran,0:02:02,0.001412037, Helen, 6:48, Grace, 1:19, Filthy 50, 15:26, Fight Gone Bad,454, Sprint 400m, --, Run 5k, 20:12, , Clean & Jerk,325, Snatch,265, Deadlift,560, Back Squat,455, Max Pull-ups,55, North West, Iron Valley CrossFit, Male,29,185,205
Travis Mead, Fran,0:02:14,0.001550926, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,305, Snatch,245, Deadlift,495, Back Squat,425, Max Pull-ups, --, Canada West, UNDEFEATED PACK, CrossFit Undefeated,26,180,196
Taylor Mason, Fran,0:02:08,0.001481481, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,310, Snatch,245, Deadlift,485, Back Squat,440, Max Pull-ups, --, North West, Yakima CrossFit, Male,25,183,197
Wesley Rethwill, Fran,0:02:16,0.001574074, Helen, 7:48, Grace, 1:29, Filthy 50, --, Fight Gone Bad,485, Sprint 400m, 1:10, Run 5k, --, , Clean & Jerk,320, Snatch,245, Deadlift,516, Back Squat,455, Max Pull-ups,48, Canada West, CrossFit Armoury, CrossFit Armoury,32,175,200
Curt Manning, Fran,0:02:21,0.001631944, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, 20:50, , Clean & Jerk,310, Snatch,250, Deadlift,490, Back Squat,405, Max Pull-ups,70, Canada West, Male,,33,180,195
Dj Larson, Fran,0:02:10,0.00150463, Helen, 7:06, Grace, 1:27, Filthy 50, 15:05, Fight Gone Bad,486, Sprint 400m, 0:57, Run 5k, 19:00, , Clean & Jerk,335, Snatch,265, Deadlift,500, Back Squat,475, Max Pull-ups,63, North West, CrossFit Intensify, CrossFit Intensify,28,160,180
Ben Stoneberg, Fran,0:02:31,0.001747685, Helen, 8:19, Grace, 1:43, Filthy 50, 20:17, Fight Gone Bad,440, Sprint 400m, 0:52, Run 5k, 20:10, , Clean & Jerk,295, Snatch,235, Deadlift,425, Back Squat,385, Max Pull-ups,51, Canada West, Synergy Strength, CrossFit Saskatoon,24,180,190
