Competitor,,Fran Times,Fran Times (Decimal),,,,,,,,,,,,,,,Clean & Jerk,,Snatch,,Deadlift,,Back Squat,,,,,,Age,Height,Weight
Adam Klink, Fran,0:02:27,0.001701389, Helen, 8:27, Grace, 1:50, Filthy 50, 17:48, Fight Gone Bad, --, Sprint 400m, 0:58, Run 5k, 0:00, , Clean & Jerk,300, Snatch,230, Deadlift,575, Back Squat,520, Max Pull-ups,50, Mid Atlantic, CrossFit Krypton, Male,26,183,218
Mark Hutchinson, Fran,0:02:21,0.001631944, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad,429, Sprint 400m, 0:49, Run 5k, --, , Clean & Jerk,340, Snatch,270, Deadlift,500, Back Squat,415, Max Pull-ups,83, South East, San Pablo CrossFit, Male,27,183,206
Mark Oliver, Fran,0:02:00,0.001388889, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,335, Snatch,245, Deadlift,500, Back Squat,415, Max Pull-ups,58, South East, CrossFit Ybor, CrossFit Ybor,23,160,175
Jeremy Lancaster, Fran,0:02:14,0.001550926, Helen, 7:20, Grace, 1:45, Filthy 50, --, Fight Gone Bad,360, Sprint 400m, --, Run 5k, --, , Clean & Jerk,325, Snatch,265, Deadlift,455, Back Squat,425, Max Pull-ups,75, South East, Knockout CrossFit, Male,27,160,170
Dan Bailey, Fran,0:02:17,0.001585648, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad,457, Sprint 400m, 0:47, Run 5k, 19:00, , Clean & Jerk,305, Snatch,265, Deadlift,540, Back Squat,405, Max Pull-ups,0, Southern California,, Male,31,160,179
Neal Maddox, Fran,0:02:04,0.001435185, Helen, 7:45, Grace, 1:35, Filthy 50, 14:34, Fight Gone Bad,505, Sprint 400m, 1:01, Run 5k, 0:00, , Clean & Jerk,353, Snatch,295, Deadlift,505, Back Squat,510, Max Pull-ups,60, Northern California, CrossFit X-treme Athletics, Male,38,178,208
Jon Pera, Fran,0:02:13,0.001539352, Helen, 7:19, Grace, 1:19, Filthy 50, 17:29, Fight Gone Bad,486, Sprint 400m, 0:50, Run 5k, 20:25, , Clean & Jerk,350, Snatch,280, Deadlift,500, Back Squat,475, Max Pull-ups,53, Southern California, CrossFit Foothill, CrossFit Foothill,32,178,202
Julian Alcaraz, Fran,0:02:24,0.001666667, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad, --, Sprint 400m, --, Run 5k, 18:44, , Clean & Jerk,335, Snatch,250, Deadlift,485, Back Squat,470, Max Pull-ups,55, Southern California, CrossFit Training Yard, CrossFit Training Yard,26,178,197
Chad Melton, Fran,0:02:22,0.001643519, Helen, 7:57, Grace, 1:42, Filthy 50, --, Fight Gone Bad,431, Sprint 400m, --, Run 5k, 20:04, , Clean & Jerk,345, Snatch,300, Deadlift,565, Back Squat,460, Max Pull-ups,57, Southern California, CrossFit 2nd Nature, Male,25,160,205
Kenneth Leverich, Fran,0:02:08,0.001481481, Helen, --, Grace, --, Filthy 50, --, Fight Gone Bad, --, Sprint 400m, --, Run 5k, --, , Clean & Jerk,355, Snatch,295, Deadlift,502, Back Squat,465, Max Pull-ups,62, Southern California, OCCF Special Ops, Male,28,173,185
Rasmus Wisbech Andersen, Fran,0:02:07,0.001469907, Helen, 0:00, Grace, 0:00, Filthy 50, 0:00, Fight Gone Bad,0, Sprint 400m, 1:02, Run 5k, 19:50, , Clean & Jerk,335, Snatch,280, Deadlift,485, Back Squat,455, Max Pull-ups,0, Southern California, Invictus, CrossFit Invictus,23,183,208
Ben Alderman, Fran,0:02:19,0.001608796, Helen, 0:00, Grace, 1:48, Filthy 50, 18:39, Fight Gone Bad,0, Sprint 400m, 0:00, Run 5k, 0:00, , Clean & Jerk,355, Snatch,293, Deadlift,515, Back Squat,440, Max Pull-ups,60, Northern California, Iron Mile, CrossFit Iron Mile,33,178,208
Wes Piatt, Fran,0:02:36,0.001805556, Helen, 8:11, Grace, 2:01, Filthy 50, 18:18, Fight Gone Bad,434, Sprint 400m, 0:59, Run 5k, 0:00, , Clean & Jerk,335, Snatch,275, Deadlift,535, Back Squat,425, Max Pull-ups, --, Northern California, Coast Range CrossFit, Coast Range CrossFit,30,180,195
Ryan Hignell, Fran,0:02:10,0.00150463, Helen, 7:20, Grace, 1:34, Filthy 50, 15:19, Fight Gone Bad,392, Sprint 400m, 1:05, Run 5k, 19:59, , Clean & Jerk,330, Snatch,285, Deadlift,535, Back Squat,385, Max Pull-ups,78, Northern California, North Rim CrossFit, North Rim CrossFit,26,175,183
